ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
vẫn gọi tên anh	thanh trà (ice tea)	van-goi-ten-anh-thanh-tra-ice-tea
biết thế tôi không yêu thật nhiều	lưu gia bảo	biet-the-toi-khong-yeu-that-nhieu-luu-gia-bao
sau cuộc trường chinh	phú tiến phú	sau-cuoc-truong-chinh-phu-tien-phu
nỗi nhớ ngày đêm	lê anh minh	noi-nho-ngay-dem-le-anh-minh
này cô em xinh	nguyễn đức cường	nay-co-em-xinh-nguyen-duc-cuong
anh hãy về cùng mùa xuân	nguyễn duyên quỳnh	anh-hay-ve-cung-mua-xuan-nguyen-duyen-quynh
thơm mát ngất ngây, ôm đầy hương tết	mew amazing sonny.b	thom-mat-ngat-ngay-om-day-huong-tet-mew-amazing-sonny-b
miền tây quê tui	nsưt thanh ngân	mien-tay-que-tui-nsut-thanh-ngan
chiếc máy thời gian	triều hải	chiec-may-thoi-gian-trieu-hai
nỗi đau dĩ vãng	minh thuận nhật hào	noi-dau-di-vang-minh-thuan-nhat-hao
hạnh phúc là gì?	tuấn quang	hanh-phuc-la-gi-tuan-quang
giọt lệ ướt mi	kenyang minhphucpk tonyhuy	giot-le-uot-mi-minhphucpk-kenyang-tonyhuy
lời nào cho anh	phạm quỳnh anh	loi-nao-cho-anh-pham-quynh-anh
đường đến vinh quang	bức tường	duong-den-vinh-quang-buc-tuong
lk rằm tháng tư - tháng tư mộng mơ	bé phương nhi bé triệu vy	lk-ram-thang-tu-thang-tu-mong-mo-be-phuong-nhi-be-trieu-vy
hãy lắng nghe điệu nhạc	lê vương	hay-lang-nghe-dieu-nhac-le-vuong
ba ru con ngủ	ngọc lễ phương thảo	ba-ru-con-ngu-phuong-thao-ngoc-le
em không thể quên	anh thúy	em-khong-the-quen-anh-thuy
người hoàn hảo	quân kun tùy phong	nguoi-hoan-hao-tuy-phong-quan-kun
suy nghĩ	quỳnh nga	suy-nghi-quynh-nga
người con gái anh yêu nhất đó là em	tara	nguoi-con-gai-anh-yeu-nhat-do-la-em-tara
đại phú hào mùa xuân vang khúc hát	ngọc sáng	dai-phu-hao-mua-xuan-vang-khuc-hat-ngoc-sang
tình cho không & làm sao em biết	như loan quỳnh vi	tinh-cho-khong-lam-sao-em-biet-nhu-loan-quynh-vi
thế giới anh và em khác nhau	thiên dũng trịnh đình quang	the-gioi-anh-va-em-khac-nhau-thien-dung-trinh-dinh-quang
ngoại ô buồn	diễm thùy	ngoai-o-buon-diem-thuy
tình bạn thâm giao	hoàng thiên đức	tinh-ban-tham-giao-hoang-thien-duc
kỉ niệm không thuộc về anh	hà thái hoàng	ki-niem-khong-thuoc-ve-anh-ha-thai-hoang
lối nào không tìm thấy anh	trần khánh hồng vân du	loi-nao-khong-tim-thay-anh-tran-khanh-hong-van-du
kiếm tìm	dương vỹ phúc	kiem-tim-duong-vy-phuc
cha yêu con trai	quách tuấn du	cha-yeu-con-trai-quach-tuan-du
một mảnh tình rơi	kannan nguyễn	mot-manh-tinh-roi-kannan-nguyen
tình anh còn mãi	khang duy	tinh-anh-con-mai-khang-duy
chẳng thể bước đến bên em	hồ việt lâm	chang-the-buoc-den-ben-em-ho-viet-lam
em ơi mình đi bay	bùi vĩnh phúc	em-oi-minh-di-bay-bui-vinh-phuc-hot-boy-keo-keo
nhớ nhớ nhớ	ngô kiến huy	nho-nho-nho-ngo-kien-huy
hè vội	pb nation	he-voi-pb-nation
vì em quay lưng	đình phong	vi-em-quay-lung-dinh-phong
giai đoạn cuối	lê chí trung	giai-doan-cuoi-le-chi-trung
liên khúc cha cha cha - chuyện tình la lan	hồ quốc bửu thanh ngân	lien-khuc-cha-cha-cha-chuyen-tinh-la-lan-thanh-ngan-ho-quoc-buu
ký ức sài gòn	nguyễn bá phú quý	ky-uc-sai-gon-nguyen-ba-phu-quy
chiều ni ngoài nớ	như bình	chieu-ni-ngoai-no-nhu-binh
chú thỏ xanh màu ngọc bích	hòa mi	chu-tho-xanh-mau-ngoc-bich-hoa-mi
liên khúc: tình đơn phương - tình mộng mơ	johnny dũng minh tuyết tú quyên	lien-khuc-tinh-don-phuong-tinh-mong-mo-minh-tuyet-johnny-dung-tu-quyen
quên đi cô gái	kiều nga	quen-di-co-gai-kieu-nga
trái tim buồn	đoan trang	trai-tim-buon-doan-trang
bài hát cô đơn	triệu hoàng	bai-hat-co-don-trieu-hoang
đố tình	gobi vũ	do-tinh-dang-nguyen-gobi
ký ức thuộc về anh	yến chi	ky-uc-thuoc-ve-anh-yen-chi
