song,link,prefix,title,genre,artist,token_count,wpm,duration_mins
+1 ngày bên em,https://zingmp3.vn/bai-hat/1-ngay-ben-em-Trungg-I-U-Rum/Z7UEF8ID.html,1-ngay-ben-em,+1 ngày bên em,v-pop,"Trungg I.U, Rum",325.0,88.61702901185195,3.667466666666667
+1 ngày bên em lofi version,https://zingmp3.vn/bai-hat/1-ngay-ben-em-Lofi-Version-Trungg-I-U-Rum/Z7UFA8IA.html,1-ngay-ben-em-lofi-version,+1 ngày bên em (Lofi Version),v-pop,"Trungg I.U, Rum",326.0,100.1515585958301,3.2550666666666666
0 ai nghĩ,https://zingmp3.vn/bai-hat/0-AI-NGHI-Wxrdie/Z68OU0ID.html,0-ai-nghi,0 AI NGHĨ,nhạc trẻ,Wxrdie,700.0,220.21917535044804,3.17865144525243
0 giờ 2 phút,https://zingmp3.vn/bai-hat/0-Gio-2-Phut-Ly-Tuan-Kiet/ZW7OCIDE.html,0-gio-2-phut,0 Giờ 2 Phút,,Ly Tuan Kiet (HKT),378.0,87.61739732687883,4.314211692339771
052 không phai 2,https://zingmp3.vn/bai-hat/052-Khong-Phai-2-Tang-Duy-Tan/ZZ9IBUAE.html,052-khong-phai-2,052 (Không Phai 2),v-pop,Tăng Duy Tân,557.0,170.74018065148977,3.262266666666666
1 chút thôi,https://zingmp3.vn/bai-hat/1-Chut-Thoi-Hiu-Luny/Z6I69U96.html,1-chut-thoi,1 Chút Thôi,v-pop,"Híu, Luny",684.0,198.12871505100168,3.4523011963406054
1 ngày mùa đông của tháng 12,https://zingmp3.vn/bai-hat/1-Ngay-Mua-Dong-Cua-Thang-12-Do-Phu-Qui-Mcee-Blue/ZW8WAUFW.html,1-ngay-mua-dong-cua-thang-12,1 Ngày Mùa Đông Của Tháng 12,nhạc trẻ,"Đỗ Phú Quí, Mceeblue",474.0,149.89248218577393,3.1622666666666666
1 ngày thiếu em trong đời,https://zingmp3.vn/bai-hat/1-Ngay-Thieu-Em-Trong-Doi-MC12-Arthur/ZZADU9OZ.html,1-ngay-thieu-em-trong-doi,1 Ngày Thiếu Em Trong Đời,rap việt,"MC 12, Arthur",467.0,179.3464212572495,2.6038991841947507
1 năm sau,https://zingmp3.vn/bai-hat/1-Nam-Sau-Dai-Nhan/ZW6EOIUF.html,1-nam-sau,1 Năm Sau,,Dai Nhan,322.0,108.1072376564482,2.9785239821155844
1 tháng nhung nhớ,https://zingmp3.vn/bai-hat/1-thang-nhung-nho-Pay-Lazii/Z78DOBEC.html,1-thang-nhung-nho,1 tháng nhung nhớ,nhạc trẻ,"Pay, Lazii",332.0,102.4938050756056,3.23922016316105
1 vòng sài gòn,https://zingmp3.vn/bai-hat/1-vong-sai-gon-B-Ray/ZZE7EO0E.html,1-vong-sai-gon,1 vòng sài gòn,rap việt,B Ray,633.0,230.3383253557841,2.748131467146245
10 năm chuyện tình,https://zingmp3.vn/bai-hat/10-Nam-Chuyen-Tinh-Mai-Quoc-Huy/ZWZCZ6ED.html,10-nam-chuyen-tinh,10 Năm Chuyện Tình,,Mai Quoc Huy,294.0,65.37324872709478,4.497252404073166
10 năm ta yêu,https://zingmp3.vn/bai-hat/10-Nam-Ta-Yeu-Nguyen-Minh-Anh/ZWZFABB6.html,10-nam-ta-yeu,10 Năm Ta Yêu,,Nguyen Minh Anh,338.0,61.33946761572808,5.510318448106863
1000 lý do anh đặt ra,https://zingmp3.vn/bai-hat/1000-Ly-Do-Anh-Dat-Ra-Son-Ca-Quang-Ha/ZWZBFAIW.html,1000-ly-do-anh-dat-ra,1000 Lý Do Anh Đặt Ra,,"Son Ca,Quang Ha",186.0,40.94617521482222,4.54254882230537
1000 lời yêu remix,https://zingmp3.vn/bai-hat/1000-Loi-Yeu-Remix-Nhat-Tinh-Anh/ZWZ9EZ9O.html,1000-loi-yeu-remix,1000 Lời Yêu ( Remix ),,Nhat Tinh Anh,396.0,79.52772727852991,4.9793954077562095
1000 năm lệ tình vương,https://zingmp3.vn/bai-hat/1000-Nam-Le-Tinh-Vuong-Yamix-Hau-Ca/Z6OADUWZ.html,1000-nam-le-tinh-vuong,1000 Năm Lệ Tình Vương,v-pop,Yamix Hầu Ca,522.0,106.7513769973278,4.889866666666666
1000 điều ước,https://zingmp3.vn/bai-hat/1000-Dieu-Uoc-Ngo-Truong/ZWZCWC7F.html,1000-dieu-uoc,1000 Điều Ước,,Ngo Truong,460.0,103.8945436936391,4.427566488538929
1001 lý do,https://zingmp3.vn/bai-hat/1001-Ly-Do-Thanh-Dat/Z689ZDFE.html,1001-ly-do,1001 Lý Do,v-pop,Thành Đạt,497.0,100.39051979531376,4.950666666666667
11 tháng 5 ngày,https://zingmp3.vn/bai-hat/11-thang-5-ngay-Nguyen-Dang-Chau-Anh/ZZADU87A.html,11-thang-5-ngay,11 tháng 5 ngày,v-pop,Nguyễn Đặng Châu Anh,527.0,147.26154992548436,3.5786666666666664
12 bến nước,https://zingmp3.vn/bai-hat/12-Ben-Nuoc-Cam-Ly/ZWZCW7OU.html,12-ben-nuoc,12 Bến Nước,,Cam Ly,254.0,52.53583066645745,4.83479554387576
123 em yêu anh,https://zingmp3.vn/bai-hat/123-Em-Yeu-Anh-Truong-Linh-Dan/ZW9CIU0C.html,123-em-yeu-anh,123 Em Yêu Anh,nhạc trẻ,Trương Linh Đan,309.0,93.31212755677244,3.3114666666666666
14 ngày nhớ em,https://zingmp3.vn/bai-hat/14-Ngay-Nho-Em-Dinh-Dai-Vu/ZWBW9D0Z.html,14-ngay-nho-em,14 Ngày Nhớ Em,nhạc trẻ,Đinh Đại Vũ,352.0,81.85535467948051,4.300268459874371
18 ngu ngơ,https://zingmp3.vn/bai-hat/18-Ngu-Ngo-Wang-Tee-Dinh-Hao-Lusic/ZZADUZOO.html,18-ngu-ngo,18 Ngu Ngơ,rap việt,"Wang, Tee Đình Hào, Lusic",422.0,141.59243449232892,2.9803852268876896
2 ngày 1 đêm,https://zingmp3.vn/bai-hat/2-Ngay-1-Dem-Da-LAB/ZZE0ZI79.html,2-ngay-1-dem,2 Ngày 1 Đêm,v-pop,Da LAB,628.0,188.6641297816944,3.3286666666666664
2 thế giới,https://zingmp3.vn/bai-hat/2-The-Gioi-Lam-Nguyen/ZZADUOIA.html,2-the-gioi,2 Thế Giới,v-pop,Lâm Nguyên,657.0,124.01616536958775,5.297696457893503
2-1 = 0,https://zingmp3.vn/bai-hat/2-1-0-Huyen-Thoai/ZWZB97Z9.html,2-1-0,2-1 = 0,,Huyen Thoai,548.0,95.16240620919386,5.758576541195703
20 năm tình vẫn đẹp,https://zingmp3.vn/bai-hat/20-Nam-Tinh-Van-Dep-Manh-Quynh/ZWZBZZZ8.html,20-nam-tinh-van-dep,20 Năm Tình Vẫn Đẹp,,Manh Quynh,280.0,55.86524215623861,5.012060973743255
20 năm tình đẹp mùa chôm chôm,https://zingmp3.vn/bai-hat/20-Nam-Tinh-Dep-Mua-Chom-Chom-Hong-Quyen-Trong-Phuc/Z7W0DDDB.html,20-nam-tinh-dep-mua-chom-chom,20 Năm Tình Đẹp Mùa Chôm Chôm,nhạc trữ tình,"Hồng Phúc, Hồng Quyên",430.0,71.65870458837907,6.000666666666667
2000 câu hỏi vì sao,https://zingmp3.vn/bai-hat/2000-cau-hoi-vi-sao-AMEE/Z79B9Z88.html,2000-cau-hoi-vi-sao,2000 câu hỏi vì sao,v-pop,AMEE,388.0,107.50701935865229,3.609066666666666
